08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
09:58:36.478 -> 16.50, 44.00, 15.38, 47.63, 
09:58:38.566 -> 16.50, 44.00, 15.38, 47.69, 
09:58:40.660 -> 16.50, 44.00, 15.38, 47.69, 
09:58:42.736 -> 16.50, 44.00, 15.38, 47.69, 
09:58:44.818 -> 16.50, 44.00, 15.44, 47.69, 
09:58:46.901 -> 16.50, 44.00, 15.44, 47.69, 
09:58:48.987 -> 16.50, 44.06, 15.44, 47.63, 
09:58:51.068 -> 16.50, 44.06, 15.50, 47.63, 
09:58:53.151 -> 16.50, 44.06, 15.50, 47.63, 
09:58:55.218 -> 16.50, 44.06, 15.56, 47.63, 
09:58:57.321 -> 16.50, 44.06, 15.56, 47.63, 
09:58:59.383 -> 16.50, 44.06, 15.63, 47.63, 
09:59:01.469 -> 16.50, 44.06, 15.63, 47.69, 
09:59:03.534 -> 16.50, 44.13, 15.63, 47.75, 
09:59:05.616 -> 16.50, 44.13, 15.63, 47.75, 
09:59:07.690 -> 16.50, 44.13, 15.69, 47.75, 
09:59:09.786 -> 16.50, 44.13, 15.69, 47.75, 
09:59:11.862 -> 17.00, 44.13, 15.75, 47.75, 
09:59:13.946 -> 17.00, 44.19, 15.75, 47.75, 
09:59:16.059 -> 17.00, 44.13, 15.75, 47.81, 
09:59:18.098 -> 17.00, 44.19, 15.75, 47.81, 
09:59:20.216 -> 17.00, 44.19, 15.75, 47.75, 
09:59:22.259 -> 17.00, 44.19, 15.81, 47.75, 
09:59:24.345 -> 17.00, 44.19, 15.81, 47.75, 
09:59:26.434 -> 17.00, 44.19, 15.81, 47.75, 
09:59:28.524 -> 17.00, 44.13, 15.88, 47.75, 
09:59:30.586 -> 17.00, 44.13, 15.88, 47.69, 
09:59:32.670 -> 17.00, 44.13, 15.94, 47.69, 
09:59:34.758 -> 17.00, 44.13, 16.00, 47.69, 
09:59:36.830 -> 17.00, 44.13, 16.06, 47.69, 
09:59:38.908 -> 17.00, 44.06, 16.06, 47.63, 
09:59:40.996 -> 17.00, 44.06, 16.12, 47.63, 
09:59:43.086 -> 17.00, 44.06, 16.12, 47.56, 
09:59:45.171 -> 17.00, 44.00, 16.19, 47.56, 
09:59:47.254 -> 17.00, 44.00, 16.19, 47.56, 
09:59:49.345 -> 17.00, 44.00, 16.25, 47.50, 
09:59:51.436 -> 17.00, 44.00, 16.25, 47.50, 
09:59:53.506 -> 17.00, 44.00, 16.31, 47.44, 
09:59:55.558 -> 17.50, 43.94, 16.31, 47.44, 
09:59:57.677 -> 17.50, 43.94, 16.37, 47.44, 
09:59:59.729 -> 17.50, 43.94, 16.37, 47.38, 
10:00:01.820 -> 17.50, 43.88, 16.37, 47.38, 
10:00:03.903 -> 17.50, 43.88, 16.44, 47.38, 
10:00:05.987 -> 17.50, 43.88, 16.44, 47.38, 
10:00:08.083 -> 17.50, 43.88, 16.50, 47.38, 
10:00:10.127 -> 17.50, 43.88, 16.50, 47.31, 
10:00:12.215 -> 17.50, 43.81, 16.56, 47.31, 
10:00:14.322 -> 17.50, 43.81, 16.56, 47.31, 
10:00:16.400 -> 17.50, 43.81, 16.62, 47.31, 
10:00:18.447 -> 17.50, 43.81, 16.62, 47.25, 
10:00:20.527 -> 17.50, 43.75, 16.62, 47.25, 
10:00:22.628 -> 17.50, 43.75, 16.69, 47.25, 
10:00:24.725 -> 17.50, 43.81, 16.69, 47.19, 
10:00:26.817 -> 17.50, 43.75, 16.75, 47.19, 
10:00:28.901 -> 17.50, 43.75, 16.75, 47.13, 
10:00:30.946 -> 17.50, 43.75, 16.75, 47.13, 
10:00:33.018 -> 17.50, 43.75, 16.81, 47.06, 
10:00:35.111 -> 18.00, 43.69, 16.81, 47.06, 
10:00:37.195 -> 18.00, 43.75, 16.87, 47.13, 
10:00:39.282 -> 18.00, 43.69, 16.87, 47.06, 
10:00:41.370 -> 18.00, 43.69, 16.87, 47.06, 
10:00:43.465 -> 18.00, 43.69, 16.94, 47.06, 
10:00:45.532 -> 18.00, 43.69, 16.94, 47.00, 
10:00:47.581 -> 18.00, 43.69, 16.94, 47.06, 
10:00:49.672 -> 18.00, 43.69, 17.00, 47.00, 
10:00:51.759 -> 18.00, 43.69, 17.00, 47.06, 
10:00:53.861 -> 18.00, 43.69, 17.06, 47.06, 
10:00:55.939 -> 18.00, 43.69, 17.06, 47.06, 
10:00:58.025 -> 18.00, 43.63, 17.12, 47.06, 
10:01:00.114 -> 18.00, 43.63, 17.12, 47.06, 
10:01:02.161 -> 18.00, 43.69, 17.12, 47.06, 
10:01:04.255 -> 18.00, 43.69, 17.12, 47.06, 
10:01:06.357 -> 18.00, 43.63, 17.19, 47.06, 
