08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
08:57:00.209 -> 6.50, 31.94, 5.25, 32.44, 
08:57:02.312 -> 6.50, 31.94, 5.25, 32.44, 
08:57:04.414 -> 6.50, 31.87, 5.25, 32.44, 
08:57:06.504 -> 6.50, 31.94, 5.25, 32.44, 
08:57:08.571 -> 6.50, 31.87, 5.25, 32.50, 
08:57:10.640 -> 6.50, 31.94, 5.25, 32.44, 
08:57:12.744 -> 6.50, 31.94, 5.25, 32.44, 
08:57:14.816 -> 6.50, 31.94, 5.25, 32.50, 
08:57:16.923 -> 6.50, 31.87, 5.25, 32.50, 
08:57:19.015 -> 6.50, 31.87, 5.31, 32.50, 
08:57:21.097 -> 6.50, 31.87, 5.25, 32.50, 
08:57:23.184 -> 6.50, 31.87, 5.25, 32.50, 
08:57:25.236 -> 6.50, 31.87, 5.25, 32.50, 
08:57:27.352 -> 6.50, 31.87, 5.25, 32.56, 
08:57:29.422 -> 6.50, 31.87, 5.25, 32.50, 
08:57:31.525 -> 6.50, 31.87, 5.25, 32.44, 
08:57:33.580 -> 6.50, 31.87, 5.25, 32.44, 
08:57:35.684 -> 6.50, 31.87, 5.25, 32.44, 
08:57:37.762 -> 6.50, 31.87, 5.25, 32.44, 
08:57:39.860 -> 6.50, 31.94, 5.25, 32.38, 
08:57:41.948 -> 6.50, 31.87, 5.31, 32.38, 
08:57:44.005 -> 6.50, 31.87, 5.25, 32.38, 
08:57:46.110 -> 6.50, 31.87, 5.25, 32.38, 
08:57:48.209 -> 6.50, 31.87, 5.19, 32.38, 
08:57:50.297 -> 6.50, 31.94, 5.13, 32.38, 
08:57:52.355 -> 6.50, 31.94, 5.13, 32.44, 
08:57:54.458 -> 6.50, 31.94, 5.06, 32.38, 
08:57:56.550 -> 6.50, 31.94, 5.06, 32.44, 
08:57:58.650 -> 6.50, 31.94, 5.06, 32.44, 
08:58:00.720 -> 6.50, 31.94, 5.00, 32.50, 
08:58:02.816 -> 6.50, 31.94, 5.00, 32.50, 
08:58:04.891 -> 6.50, 31.94, 4.94, 32.56, 
08:58:06.952 -> 6.50, 31.94, 4.94, 32.56, 
08:58:09.074 -> 6.50, 31.94, 4.94, 32.56, 
08:58:11.141 -> 6.50, 31.94, 4.88, 32.56, 
08:58:13.237 -> 6.50, 31.94, 4.88, 32.63, 
08:58:15.313 -> 6.50, 31.94, 4.81, 32.63, 
08:58:17.382 -> 6.50, 31.94, 4.81, 32.63, 
08:58:19.498 -> 6.50, 31.94, 4.75, 32.63, 
08:58:21.578 -> 6.00, 31.94, 4.81, 32.63, 
08:58:23.664 -> 6.00, 32.00, 4.75, 32.63, 
08:58:25.754 -> 6.00, 31.94, 4.75, 32.63, 
08:58:27.825 -> 6.00, 32.00, 4.75, 32.56, 
08:58:29.894 -> 6.00, 31.94, 4.75, 32.56, 
08:58:32.004 -> 6.00, 31.94, 4.75, 32.56, 
08:58:34.071 -> 6.00, 31.94, 4.69, 32.56, 
08:58:36.174 -> 6.00, 31.94, 4.69, 32.56, 
08:58:38.248 -> 6.00, 31.94, 4.69, 32.56, 
08:58:40.341 -> 6.00, 31.94, 4.69, 32.50, 
08:58:42.445 -> 6.00, 31.94, 4.69, 32.50, 
08:58:44.499 -> 6.00, 31.94, 4.69, 32.50, 
08:58:46.602 -> 6.00, 31.94, 4.75, 32.50, 
08:58:48.678 -> 6.00, 31.94, 4.75, 32.44, 
08:58:50.766 -> 6.00, 31.87, 4.75, 32.44, 
08:58:52.869 -> 6.00, 31.87, 4.75, 32.44, 
08:58:54.928 -> 6.00, 31.87, 4.75, 32.44, 
08:58:57.048 -> 6.00, 31.87, 4.75, 32.44, 
08:58:59.111 -> 6.00, 31.87, 4.75, 32.44, 
08:59:01.207 -> 6.00, 31.87, 4.69, 32.44, 
08:59:03.312 -> 6.00, 31.87, 4.69, 32.44, 
08:59:05.371 -> 6.00, 31.87, 4.63, 32.50, 
08:59:07.475 -> 6.00, 31.87, 4.63, 32.50, 
08:59:09.526 -> 6.00, 31.94, 4.63, 32.50, 
08:59:11.628 -> 6.00, 31.87, 4.56, 32.50, 
08:59:13.725 -> 6.00, 31.87, 4.56, 32.50, 
08:59:15.798 -> 6.00, 31.87, 4.56, 32.50, 
08:59:17.898 -> 6.00, 31.87, 4.56, 32.50, 
08:59:19.980 -> 6.00, 31.87, 4.63, 32.44, 
08:59:22.059 -> 6.00, 31.87, 4.63, 32.44, 
08:59:24.165 -> 6.00, 31.87, 4.63, 32.44, 
08:59:26.256 -> 6.00, 31.87, 4.56, 32.44, 
08:59:28.308 -> 6.00, 31.87, 4.56, 32.44, 
08:59:30.424 -> 6.00, 31.87, 4.56, 32.44, 
08:59:32.491 -> 6.00, 31.87, 4.56, 32.44, 
08:59:34.559 -> 6.00, 31.87, 4.50, 32.44, 
08:59:36.679 -> 6.00, 31.87, 4.44, 32.44, 
08:59:38.744 -> 6.00, 31.81, 4.44, 32.44, 
08:59:40.859 -> 6.00, 31.87, 4.44, 32.44, 
08:59:42.924 -> 6.00, 31.87, 4.38, 32.50, 
08:59:44.997 -> 6.00, 31.87, 4.38, 32.50, 
08:59:47.100 -> 6.00, 31.87, 4.38, 32.50, 
08:59:49.185 -> 6.00, 31.87, 4.31, 32.50, 
08:59:51.247 -> 6.00, 31.87, 4.31, 32.50, 
08:59:53.367 -> 6.00, 31.87, 4.25, 32.56, 
08:59:55.437 -> 6.00, 31.87, 4.25, 32.56, 
08:59:57.530 -> 6.00, 31.87, 4.19, 32.56, 
08:59:59.616 -> 5.50, 31.87, 4.19, 32.56, 
09:00:01.708 -> 5.50, 31.87, 4.19, 32.63, 
09:00:03.759 -> 5.50, 31.94, 4.13, 32.56, 
09:00:05.883 -> 5.50, 31.94, 4.13, 32.56, 
09:00:07.945 -> 5.50, 31.87, 4.13, 32.56, 
09:00:10.028 -> 5.50, 31.87, 4.06, 32.63, 
09:00:12.132 -> 5.50, 31.87, 4.06, 32.63, 
09:00:14.199 -> 5.50, 31.87, 4.06, 32.63, 
09:00:16.284 -> 5.50, 31.87, 4.06, 32.63, 
09:00:18.397 -> 5.50, 31.94, 4.13, 32.56, 
09:00:20.482 -> 5.50, 31.87, 4.13, 32.56, 
09:00:22.564 -> 5.50, 31.87, 4.13, 32.50, 
09:00:24.652 -> 5.50, 31.87, 4.13, 32.50, 
09:00:26.752 -> 5.50, 31.87, 4.13, 32.50, 
09:00:28.797 -> 5.50, 31.87, 4.13, 32.44, 
09:00:30.892 -> 5.50, 31.87, 4.13, 32.44, 
09:00:32.985 -> 5.50, 31.87, 4.13, 32.38, 
09:00:35.085 -> 5.50, 31.87, 4.13, 32.38, 
09:00:37.150 -> 5.50, 31.87, 4.06, 32.38, 
09:00:39.238 -> 5.50, 31.87, 4.06, 32.31, 
09:00:41.323 -> 5.50, 31.87, 4.06, 32.38, 
09:00:43.430 -> 5.50, 31.87, 4.13, 32.38, 
09:00:45.482 -> 5.50, 31.87, 4.13, 32.38, 
09:00:47.598 -> 5.50, 31.87, 4.06, 32.38, 
09:00:49.666 -> 5.50, 31.87, 4.06, 32.38, 
09:00:51.772 -> 5.50, 31.81, 4.00, 32.44, 
09:00:53.824 -> 5.50, 31.81, 4.06, 32.38, 
09:00:55.926 -> 5.50, 31.81, 4.06, 32.38, 
09:00:58.010 -> 5.50, 31.81, 4.00, 32.38, 
09:01:00.126 -> 5.50, 31.87, 4.00, 32.44, 
09:01:02.197 -> 5.50, 31.81, 4.00, 32.44, 
09:01:04.280 -> 5.50, 31.81, 4.00, 32.44, 
09:01:06.379 -> 5.50, 31.81, 4.00, 32.44, 
09:01:08.431 -> 5.50, 31.81, 3.94, 32.44, 
09:01:10.516 -> 5.50, 31.81, 3.94, 32.44, 
09:01:12.618 -> 5.50, 31.81, 3.94, 32.44, 
09:01:14.702 -> 5.50, 31.81, 3.94, 32.44, 
09:01:16.796 -> 5.50, 31.81, 3.94, 32.50, 
09:01:18.890 -> 5.50, 31.81, 3.88, 32.44, 
09:01:20.986 -> 5.50, 31.81, 3.94, 32.50, 
09:01:23.060 -> 5.50, 31.81, 3.94, 32.50, 
09:01:25.122 -> 5.50, 31.81, 3.88, 32.50, 
09:01:27.206 -> 5.50, 31.81, 3.88, 32.50, 
09:01:29.319 -> 5.50, 31.87, 3.81, 32.50, 
09:01:31.393 -> 5.50, 31.87, 3.81, 32.50, 
09:01:33.472 -> 5.50, 31.87, 3.81, 32.44, 
09:01:35.555 -> 5.50, 31.87, 3.81, 32.44, 
09:01:37.634 -> 5.50, 31.87, 3.75, 32.50, 
09:01:39.727 -> 5.00, 31.87, 3.81, 32.50, 
09:01:41.810 -> 5.50, 31.87, 3.81, 32.50, 
09:01:43.932 -> 5.50, 31.87, 3.81, 32.50, 
09:01:45.998 -> 5.00, 31.81, 3.81, 32.50, 
09:01:48.071 -> 5.50, 31.87, 3.75, 32.50, 
09:01:50.190 -> 5.50, 31.81, 3.75, 32.50, 
09:01:52.248 -> 5.50, 31.87, 3.75, 32.56, 
09:01:54.331 -> 5.00, 31.87, 3.69, 32.56, 
09:01:56.439 -> 5.00, 31.81, 3.69, 32.50, 
09:01:58.530 -> 5.00, 31.87, 3.69, 32.50, 
09:02:00.578 -> 5.00, 31.81, 3.69, 32.50, 
09:02:02.694 -> 5.00, 31.81, 3.69, 32.50, 
09:02:04.753 -> 5.00, 31.81, 3.69, 32.50, 
09:02:06.851 -> 5.00, 31.81, 3.69, 32.56, 
09:02:08.952 -> 5.00, 31.81, 3.69, 32.50, 
09:02:11.033 -> 5.00, 31.81, 3.69, 32.50, 
09:02:13.102 -> 5.00, 31.81, 3.75, 32.50, 
09:02:15.208 -> 5.00, 31.81, 3.81, 32.44, 
09:02:17.271 -> 5.00, 31.75, 3.81, 32.44, 
09:02:19.375 -> 5.00, 31.75, 3.81, 32.38, 
09:02:21.460 -> 5.00, 31.75, 3.81, 32.38, 
09:02:23.524 -> 5.00, 31.75, 3.81, 32.38, 
09:02:25.618 -> 5.00, 31.75, 3.88, 32.31, 
09:02:27.732 -> 5.00, 31.75, 3.88, 32.31, 
09:02:29.813 -> 5.00, 31.75, 3.94, 32.31, 
09:02:31.874 -> 5.00, 31.75, 3.88, 32.31, 
09:02:33.981 -> 5.00, 31.69, 3.88, 32.31, 
09:02:36.068 -> 5.00, 31.75, 3.88, 32.38, 
09:02:38.163 -> 5.00, 31.69, 3.88, 32.38, 
09:02:40.248 -> 5.00, 31.69, 3.88, 32.38, 
09:02:42.308 -> 5.00, 31.69, 3.88, 32.38, 
09:02:44.408 -> 5.00, 31.69, 3.94, 32.38, 
09:02:46.482 -> 5.00, 31.69, 4.00, 32.31, 
09:02:48.580 -> 5.00, 31.62, 4.00, 32.31, 
09:02:50.650 -> 5.00, 31.69, 3.94, 32.31, 
09:02:52.751 -> 5.00, 31.62, 3.94, 32.31, 
09:02:54.841 -> 5.00, 31.62, 3.94, 32.31, 
09:02:56.927 -> 5.00, 31.62, 3.94, 32.31, 
09:02:58.990 -> 5.00, 31.62, 3.88, 32.25, 
09:03:01.106 -> 5.00, 31.62, 3.94, 32.25, 
09:03:03.158 -> 5.00, 31.56, 3.94, 32.25, 
09:03:05.275 -> 5.00, 31.56, 3.88, 32.25, 
09:03:07.338 -> 5.00, 31.56, 3.88, 32.25, 
09:03:09.420 -> 5.00, 31.56, 3.81, 32.25, 
09:03:11.519 -> 5.00, 31.62, 3.81, 32.25, 
09:03:13.612 -> 5.00, 31.56, 3.75, 32.31, 
09:03:15.696 -> 5.00, 31.56, 3.69, 32.31, 
09:03:17.779 -> 5.00, 31.62, 3.75, 32.31, 
09:03:19.847 -> 5.00, 31.56, 3.75, 32.31, 
09:03:21.955 -> 5.00, 31.56, 3.75, 32.31, 
09:03:24.056 -> 5.00, 31.56, 3.81, 32.31, 
09:03:26.141 -> 5.00, 31.56, 3.75, 32.31, 
09:03:28.218 -> 5.00, 31.56, 3.81, 32.25, 
09:03:30.298 -> 5.00, 31.56, 3.81, 32.31, 
09:03:32.385 -> 5.00, 31.50, 3.81, 32.31, 
09:03:34.468 -> 5.00, 31.50, 3.81, 32.31, 
09:03:36.534 -> 5.00, 31.50, 3.88, 32.31, 
09:03:38.660 -> 5.00, 31.50, 3.88, 32.31, 
09:03:40.724 -> 5.00, 31.50, 3.88, 32.25, 
09:03:42.828 -> 5.00, 31.50, 3.88, 32.25, 
09:03:44.924 -> 5.00, 31.50, 3.88, 32.25, 
09:03:46.996 -> 5.00, 31.50, 3.88, 32.25, 
09:03:49.058 -> 5.00, 31.50, 3.81, 32.25, 
09:03:51.144 -> 5.00, 31.50, 3.81, 32.25, 
09:03:53.225 -> 5.00, 31.50, 3.69, 32.25, 
09:03:55.343 -> 5.00, 31.50, 3.69, 32.31, 
09:03:57.413 -> 5.00, 31.50, 3.63, 32.31, 
09:03:59.510 -> 5.00, 31.50, 3.63, 32.31, 
09:04:01.611 -> 5.00, 31.50, 3.63, 32.25, 
09:04:03.666 -> 5.00, 31.50, 3.63, 32.31, 
09:04:05.774 -> 5.00, 31.50, 3.63, 32.25, 
09:04:07.828 -> 5.00, 31.50, 3.63, 32.25, 
09:04:09.958 -> 5.00, 31.50, 3.56, 32.25, 
