08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
11:54:10.277 -> 1.50, 27.87, -1.12, 28.62, 
11:54:12.395 -> 1.50, 27.87, -1.12, 28.56, 
11:54:14.470 -> 1.50, 27.87, -1.06, 28.62, 
11:54:16.572 -> 1.50, 27.87, -1.00, 28.56, 
11:54:18.672 -> 1.50, 27.87, -1.00, 28.56, 
11:54:20.731 -> 1.50, 27.87, -0.94, 28.62, 
11:54:22.828 -> 1.50, 27.87, -0.94, 28.56, 
11:54:24.908 -> 1.50, 27.87, -0.88, 28.56, 
11:54:26.986 -> 1.50, 27.87, -0.88, 28.56, 
11:54:29.096 -> 1.50, 27.87, -0.88, 28.56, 
11:54:31.170 -> 1.50, 27.87, -0.88, 28.56, 
11:54:33.248 -> 1.50, 27.87, -0.88, 28.56, 
11:54:35.366 -> 1.50, 27.87, -0.81, 28.56, 
11:54:37.413 -> 1.50, 27.87, -0.81, 28.56, 
11:54:39.521 -> 1.50, 27.87, -0.81, 28.56, 
11:54:41.586 -> 1.50, 27.87, -0.81, 28.56, 
11:54:43.695 -> 1.50, 27.87, -0.88, 28.56, 
11:54:45.807 -> 1.50, 27.87, -0.81, 28.56, 
11:54:47.879 -> 1.50, 27.87, -0.81, 28.56, 
11:54:49.959 -> 1.50, 27.87, -0.88, 28.56, 
11:54:52.032 -> 1.50, 27.87, -0.88, 28.56, 
11:54:54.129 -> 1.50, 27.87, -0.88, 28.56, 
11:54:56.203 -> 1.50, 27.87, -0.88, 28.56, 
11:54:58.316 -> 1.50, 27.87, -0.88, 28.62, 
11:55:00.388 -> 1.50, 27.87, -0.88, 28.56, 
11:55:02.483 -> 1.50, 27.87, -0.88, 28.56, 
11:55:04.558 -> 1.50, 27.87, -0.88, 28.56, 
11:55:06.638 -> 1.50, 27.87, -0.88, 28.56, 
11:55:08.756 -> 1.50, 27.87, -0.88, 28.56, 
11:55:10.820 -> 1.50, 27.87, -0.81, 28.56, 
11:55:12.940 -> 1.50, 27.87, -0.81, 28.56, 
11:55:15.007 -> 1.50, 27.87, -0.81, 28.56, 
11:55:17.111 -> 1.50, 27.87, -0.81, 28.56, 
11:55:19.167 -> 1.50, 27.87, -0.88, 28.56, 
11:55:21.264 -> 1.50, 27.87, -0.88, 28.56, 
11:55:23.337 -> 1.50, 27.87, -0.88, 28.56, 
11:55:25.463 -> 1.50, 27.87, -0.88, 28.56, 
11:55:27.537 -> 1.50, 27.87, -0.94, 28.56, 
11:55:29.636 -> 1.50, 27.87, -0.94, 28.62, 
11:55:31.702 -> 1.50, 27.94, -0.94, 28.62, 
11:55:33.786 -> 1.50, 27.87, -0.94, 28.62, 
11:55:35.892 -> 1.50, 27.94, -0.94, 28.62, 
11:55:37.957 -> 1.50, 27.87, -0.94, 28.62, 
11:55:40.045 -> 1.50, 27.94, -0.94, 28.62, 
11:55:42.142 -> 1.50, 27.87, -0.94, 28.62, 
11:55:44.212 -> 1.50, 27.87, -0.94, 28.62, 
11:55:46.319 -> 1.50, 27.87, -0.94, 28.56, 
11:55:48.400 -> 1.50, 27.87, -0.94, 28.62, 
11:55:50.516 -> 1.50, 27.94, -0.94, 28.62, 
11:55:52.583 -> 1.50, 27.87, -1.00, 28.62, 
11:55:54.649 -> 1.50, 27.87, -1.00, 28.56, 
11:55:56.758 -> 1.50, 27.87, -1.00, 28.62, 
11:55:58.818 -> 1.50, 27.94, -1.00, 28.62, 
11:56:00.927 -> 1.50, 27.94, -1.00, 28.62, 
11:56:03.034 -> 1.50, 27.87, -1.00, 28.62, 
11:56:05.103 -> 1.50, 27.94, -1.06, 28.62, 
11:56:07.181 -> 1.50, 27.94, -1.06, 28.62, 
11:56:09.297 -> 1.50, 27.94, -1.06, 28.62, 
11:56:11.371 -> 1.50, 27.87, -1.12, 28.56, 
11:56:13.452 -> 1.50, 27.87, -1.12, 28.62, 
11:56:15.562 -> 1.50, 27.94, -1.12, 28.62, 
11:56:17.645 -> 1.50, 27.87, -1.12, 28.56, 
11:56:19.715 -> 1.50, 27.94, -1.12, 28.56, 
11:56:21.809 -> 1.50, 27.87, -1.19, 28.62, 
11:56:23.882 -> 1.50, 27.87, -1.19, 28.56, 
11:56:25.961 -> 1.50, 27.94, -1.19, 28.56, 
11:56:28.085 -> 1.50, 27.87, -1.19, 28.56, 
11:56:30.147 -> 1.50, 27.94, -1.19, 28.62, 
11:56:32.217 -> 1.50, 27.94, -1.19, 28.56, 
11:56:34.319 -> 1.50, 27.94, -1.19, 28.56, 
11:56:36.392 -> 1.50, 27.94, -1.19, 28.56, 
11:56:38.488 -> 1.50, 27.94, -1.19, 28.56, 
11:56:40.609 -> 1.50, 27.94, -1.19, 28.56, 
11:56:42.674 -> 1.50, 27.94, -1.19, 28.56, 
11:56:44.782 -> 1.50, 27.94, -1.25, 28.56, 
11:56:46.840 -> 1.50, 27.94, -1.19, 28.62, 
11:56:48.919 -> 1.50, 27.94, -1.25, 28.56, 
11:56:51.028 -> 1.50, 27.94, -1.19, 28.56, 
11:56:53.097 -> 1.50, 27.94, -1.25, 28.56, 
11:56:55.223 -> 1.50, 27.94, -1.25, 28.62, 
11:56:57.286 -> 1.50, 27.94, -1.25, 28.62, 
11:56:59.355 -> 1.50, 27.94, -1.31, 28.56, 
11:57:01.476 -> 1.50, 27.94, -1.31, 28.56, 
11:57:03.538 -> 1.50, 27.94, -1.31, 28.56, 
11:57:05.644 -> 1.50, 27.94, -1.25, 28.56, 
11:57:07.739 -> 1.50, 27.94, -1.31, 28.56, 
11:57:09.811 -> 1.50, 27.94, -1.25, 28.56, 
11:57:11.918 -> 1.50, 27.94, -1.25, 28.56, 
11:57:13.998 -> 1.50, 27.94, -1.25, 28.62, 
11:57:16.073 -> 1.50, 27.94, -1.25, 28.56, 
11:57:18.184 -> 1.50, 27.94, -1.25, 28.56, 
11:57:20.263 -> 1.50, 27.94, -1.25, 28.56, 
11:57:22.345 -> 1.50, 27.94, -1.25, 28.56, 
11:57:24.417 -> 1.50, 27.94, -1.25, 28.62, 
11:57:26.496 -> 1.50, 27.94, -1.25, 28.56, 
11:57:28.581 -> 1.50, 27.94, -1.25, 28.56, 
11:57:30.707 -> 1.50, 27.94, -1.25, 28.56, 
11:57:32.781 -> 1.50, 27.94, -1.25, 28.56, 
11:57:34.844 -> 1.50, 27.87, -1.25, 28.56, 
11:57:36.930 -> 1.50, 27.94, -1.25, 28.62, 
11:57:39.041 -> 1.50, 27.94, -1.25, 28.56, 
11:57:41.145 -> 1.50, 27.94, -1.25, 28.56, 
11:57:43.209 -> 1.50, 27.94, -1.25, 28.56, 
11:57:45.297 -> 1.50, 27.94, -1.25, 28.56, 
11:57:47.405 -> 1.50, 27.94, -1.25, 28.56, 
11:57:49.470 -> 1.50, 27.94, -1.25, 28.56, 
11:57:51.580 -> 1.50, 27.94, -1.25, 28.62, 
11:57:53.651 -> 1.50, 27.94, -1.25, 28.62, 
11:57:55.731 -> 1.50, 27.94, -1.25, 28.62, 
11:57:57.807 -> 1.50, 27.94, -1.25, 28.62, 
11:57:59.922 -> 1.50, 27.94, -1.25, 28.56, 
11:58:01.996 -> 1.50, 27.94, -1.25, 28.56, 
11:58:04.084 -> 1.50, 27.94, -1.25, 28.56, 
11:58:06.161 -> 1.50, 27.94, -1.19, 28.56, 
11:58:08.250 -> 1.50, 27.94, -1.19, 28.56, 
11:58:10.361 -> 1.50, 27.94, -1.19, 28.56, 
11:58:12.444 -> 1.50, 27.94, -1.19, 28.62, 
11:58:14.510 -> 1.50, 27.94, -1.19, 28.56, 
11:58:16.629 -> 1.50, 27.94, -1.19, 28.62, 
11:58:18.688 -> 1.50, 27.87, -1.19, 28.56, 
11:58:20.797 -> 1.50, 27.94, -1.19, 28.56, 
11:58:22.878 -> 1.50, 27.87, -1.19, 28.56, 
11:58:24.952 -> 1.50, 27.87, -1.19, 28.56, 
11:58:27.035 -> 1.50, 27.87, -1.12, 28.62, 
11:58:29.157 -> 1.50, 27.94, -1.19, 28.62, 
11:58:31.236 -> 1.50, 27.87, -1.19, 28.62, 
11:58:33.306 -> 1.50, 27.87, -1.19, 28.62, 
11:58:35.419 -> 1.50, 27.87, -1.19, 28.62, 
11:58:37.489 -> 1.50, 27.87, -1.19, 28.62, 
11:58:39.570 -> 1.50, 27.94, -1.19, 28.62, 
11:58:41.674 -> 1.50, 27.94, -1.25, 28.62, 
11:58:43.740 -> 1.50, 27.87, -1.25, 28.62, 
11:58:45.858 -> 1.50, 27.94, -1.25, 28.62, 
11:58:47.910 -> 1.50, 27.87, -1.31, 28.62, 
11:58:49.993 -> 1.50, 27.87, -1.25, 28.62, 
11:58:52.121 -> 1.50, 27.87, -1.31, 28.62, 
11:58:54.199 -> 1.50, 27.94, -1.31, 28.62, 
11:58:56.279 -> 1.50, 27.94, -1.31, 28.62, 
11:58:58.348 -> 1.50, 27.94, -1.31, 28.62, 
11:59:00.424 -> 1.50, 27.94, -1.31, 28.62, 
11:59:02.536 -> 1.50, 27.87, -1.31, 28.56, 
11:59:04.625 -> 1.50, 27.94, -1.31, 28.62, 
11:59:06.685 -> 1.50, 27.94, -1.31, 28.62, 
11:59:08.792 -> 1.50, 27.94, -1.31, 28.62, 
11:59:10.882 -> 1.50, 27.94, -1.31, 28.62, 
11:59:12.953 -> 1.50, 27.94, -1.31, 28.62, 
11:59:15.049 -> 1.50, 27.94, -1.37, 28.56, 
11:59:17.124 -> 1.50, 27.94, -1.31, 28.56, 
11:59:19.251 -> 1.50, 27.94, -1.37, 28.62, 
11:59:21.311 -> 1.50, 27.94, -1.37, 28.62, 
11:59:23.423 -> 1.50, 27.94, -1.37, 28.62, 
11:59:25.514 -> 1.50, 27.94, -1.37, 28.62, 
11:59:27.563 -> 1.50, 27.94, -1.37, 28.56, 
11:59:29.685 -> 1.50, 27.94, -1.37, 28.62, 
11:59:31.767 -> 1.50, 27.94, -1.37, 28.56, 
11:59:33.838 -> 1.50, 27.94, -1.37, 28.62, 
11:59:35.919 -> 1.50, 27.94, -1.37, 28.62, 
11:59:38.038 -> 1.50, 27.94, -1.37, 28.56, 
11:59:40.116 -> 1.50, 27.94, -1.37, 28.62, 
11:59:42.211 -> 1.50, 27.94, -1.37, 28.56, 
11:59:44.291 -> 1.50, 27.94, -1.37, 28.62, 
11:59:46.392 -> 1.50, 27.94, -1.37, 28.62, 
11:59:48.456 -> 1.50, 27.94, -1.37, 28.62, 
11:59:50.527 -> 1.50, 27.94, -1.37, 28.62, 
11:59:52.649 -> 1.50, 27.94, -1.37, 28.62, 
11:59:54.720 -> 1.50, 27.94, -1.37, 28.62, 
11:59:56.793 -> 1.50, 27.94, -1.37, 28.62, 
11:59:58.903 -> 1.50, 27.94, -1.37, 28.62, 
12:00:01.002 -> 1.50, 27.94, -1.37, 28.62, 
12:00:03.067 -> 1.50, 27.94, -1.37, 28.62, 
12:00:05.174 -> 1.50, 27.94, -1.37, 28.62, 
12:00:07.238 -> 1.50, 27.94, -1.37, 28.62, 
12:00:09.356 -> 1.50, 27.94, -1.37, 28.62, 
12:00:11.437 -> 1.50, 27.94, -1.37, 28.62, 
12:00:13.507 -> 1.50, 27.94, -1.37, 28.62, 
12:00:15.616 -> 1.50, 27.94, -1.37, 28.62, 
12:00:17.687 -> 1.50, 27.94, -1.37, 28.62, 
