10:15:37.380 ->  Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:19:03.668 -> 3.50, 36.63, 1.94, 37.50, 
10:19:05.717 -> 3.50, 36.63, 1.94, 37.44, 
10:19:07.816 -> 3.50, 36.69, 1.94, 37.44, 
10:19:09.878 -> 3.50, 36.63, 1.88, 37.44, 
10:19:12.008 -> 3.50, 36.69, 1.88, 37.50, 
10:19:14.053 -> 3.50, 36.69, 1.88, 37.50, 
10:19:16.135 -> 3.50, 36.69, 1.88, 37.50, 
10:19:18.227 -> 3.50, 36.69, 1.88, 37.50, 
10:19:20.303 -> 3.50, 36.63, 1.88, 37.50, 
10:19:22.398 -> 3.50, 36.69, 1.88, 37.50, 
10:19:24.518 -> 3.50, 36.69, 1.81, 37.50, 
10:19:26.598 -> 3.50, 36.69, 1.75, 37.50, 
10:19:28.647 -> 3.50, 36.69, 1.81, 37.56, 
10:19:30.743 -> 3.50, 36.69, 1.75, 37.56, 
10:19:32.842 -> 3.50, 36.69, 1.75, 37.63, 
10:19:34.946 -> 3.50, 36.69, 1.81, 37.56, 
10:19:37.017 -> 3.50, 36.69, 1.81, 37.63, 
10:19:39.112 -> 3.50, 36.69, 1.88, 37.63, 
10:19:41.168 -> 3.50, 36.63, 1.94, 37.63, 
10:19:43.247 -> 3.50, 36.63, 2.00, 37.69, 
10:19:45.343 -> 3.50, 36.63, 2.06, 37.69, 
10:19:47.443 -> 3.50, 36.63, 2.13, 37.69, 
10:19:49.528 -> 3.50, 36.63, 2.19, 37.63, 
10:19:51.592 -> 3.50, 36.63, 2.19, 37.69, 
10:19:53.705 -> 3.50, 36.56, 2.25, 37.69, 
10:19:55.800 -> 3.50, 36.56, 2.25, 37.69, 
10:19:57.879 -> 3.50, 36.56, 2.31, 37.69, 
10:19:59.944 -> 3.50, 36.56, 2.31, 37.69, 
10:20:02.008 -> 3.50, 36.56, 2.31, 37.69, 
10:20:04.108 -> 3.50, 36.56, 2.31, 37.69, 
10:20:06.218 -> 3.50, 36.56, 2.31, 37.63, 
10:20:08.273 -> 3.50, 36.56, 2.31, 37.63, 
