Time1_[s]	Voltage_10_A_[V]	Shunt_10_A_[V]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E_[V]	Voltage_VarR_[V]	Shunt_VarR_[V]	Time2_[s]	T5_cold_surf_B_[degC]	T8_cold_surf_C_[degC]	T2_hot_surf_C_[degC]	T4_hot_surf_A_[degC]	T3_hot_in_TEGs_[degC]	T6_hot_surf_B_[degC]	T7_cold_surf_A_[degC]	T1_cold_in_TEGs_[degC]	Current_A_[A]	Power_A_[W]	Current_B_[A]	Power_B_[W]	Current_C_[]	Power_C_[]	Current_D_[]	Power_D_[]	Current_E_[]	Power_E_[]	Current_VarR_[]	Power_VarR_[]	DT_surf_A_K]	DT_surf_B_[]	DT_surf_C_[]
1.400	0.000023	0.00046	-0.00030	-0.00020	-0.00041	-0.00028	-0.00071	0.00017	-0.00059	0.00057	0.00165	-0.00031	1.400	4.823	5.264	45.43	49.23	51.32	47.61	3.767	2.235	0.00046	1.06e-8	0.00020	6.08e-8	0.00028	1.14e-7	0.00017	1.23e-7	0.00057	3.36e-7	0.00031	5.05e-7	45.46	42.79	40.17	
1.500	0.000035	0.00045	-0.00031	-0.00021	-0.00042	-0.00027	-0.00071	0.00018	-0.00059	0.00056	0.00163	-0.00028	1.500	4.823	5.264	45.43	49.23	51.31	47.61	3.767	2.235	0.00045	1.56e-8	0.00021	6.66e-8	0.00027	1.13e-7	0.00018	1.28e-7	0.00056	3.31e-7	0.00028	4.64e-7	45.46	42.79	40.17	
1.600	0.000027	0.00046	-0.00031	-0.00020	-0.00042	-0.00026	-0.00072	0.00016	-0.00060	0.00057	0.00163	-0.00029	1.600	4.823	5.265	45.44	49.23	51.32	47.61	3.766	2.235	0.00046	1.26e-8	0.00020	6.34e-8	0.00026	1.12e-7	0.00016	1.18e-7	0.00057	3.44e-7	0.00029	4.80e-7	45.46	42.79	40.17	
1.700	0.000026	0.00047	-0.00032	-0.00020	-0.00043	-0.00027	-0.00073	0.00016	-0.00060	0.00059	0.00163	-0.00028	1.700	4.823	5.265	45.44	49.23	51.31	47.61	3.767	2.236	0.00047	1.21e-8	0.00020	6.37e-8	0.00027	1.17e-7	0.00016	1.17e-7	0.00059	3.52e-7	0.00028	4.57e-7	45.46	42.79	40.17	
1.800	0.000024	0.00047	-0.00032	-0.00021	-0.00044	-0.00028	-0.00072	0.00017	-0.00060	0.00057	0.00163	-0.00028	1.800	4.824	5.264	45.44	49.23	51.31	47.61	3.767	2.236	0.00047	1.14e-8	0.00021	6.69e-8	0.00028	1.21e-7	0.00017	1.19e-7	0.00057	3.41e-7	0.00028	4.59e-7	45.46	42.79	40.17	
1.900	0.000020	0.00046	-0.00032	-0.00021	-0.00043	-0.00027	-0.00072	0.00017	-0.00059	0.00057	0.00164	-0.00028	1.900	4.824	5.265	45.44	49.23	51.31	47.61	3.767	2.235	0.00046	9.22e-9	0.00021	6.58e-8	0.00027	1.17e-7	0.00017	1.19e-7	0.00057	3.40e-7	0.00028	4.57e-7	45.46	42.79	40.17	
2.000	0.000020	0.00045	-0.00033	-0.00020	-0.00043	-0.00027	-0.00073	0.00016	-0.00059	0.00057	0.00163	-0.00029	2.000	4.824	5.266	45.44	49.23	51.31	47.61	3.767	2.234	0.00045	9.13e-9	0.00020	6.52e-8	0.00027	1.15e-7	0.00016	1.18e-7	0.00057	3.38e-7	0.00029	4.65e-7	45.46	42.79	40.17	
2.100	0.000016	0.00046	-0.00033	-0.00020	-0.00042	-0.00027	-0.00073	0.00016	-0.00059	0.00057	0.00164	-0.00028	2.100	4.825	5.268	45.44	49.23	51.31	47.61	3.767	2.235	0.00046	7.22e-9	0.00020	6.67e-8	0.00027	1.12e-7	0.00016	1.20e-7	0.00057	3.35e-7	0.00028	4.63e-7	45.46	42.79	40.17	
2.200	0.000016	0.00045	-0.00033	-0.00020	-0.00043	-0.00026	-0.00072	0.00016	-0.00059	0.00057	0.00164	-0.00028	2.200	4.825	5.267	45.44	49.23	51.31	47.61	3.767	2.236	0.00045	7.10e-9	0.00020	6.76e-8	0.00026	1.12e-7	0.00016	1.12e-7	0.00057	3.38e-7	0.00028	4.56e-7	45.46	42.79	40.17	
2.300	0.000017	0.00045	-0.00033	-0.00019	-0.00043	-0.00028	-0.00072	0.00015	-0.00060	0.00058	0.00165	-0.00027	2.300	4.826	5.267	45.44	49.23	51.31	47.61	3.767	2.236	0.00045	7.75e-9	0.00019	6.16e-8	0.00028	1.19e-7	0.00015	1.11e-7	0.00058	3.44e-7	0.00027	4.51e-7	45.46	42.79	40.17	
