Time_1HZ,RPS_Cold,RPS_Hot
2023-11-07 12:52:24,4,5
2023-11-07 12:52:25,3,6
2023-11-07 12:52:26,4,5
2023-11-07 12:52:27,3,5
2023-11-07 12:52:28,4,5
2023-11-07 12:52:29,4,6
2023-11-07 12:52:30,3,5
2023-11-07 12:52:31,4,5
2023-11-07 12:52:32,4,5
2023-11-07 12:52:33,3,6
2023-11-07 12:52:34,4,5
2023-11-07 12:52:35,3,5
2023-11-07 12:52:36,4,6
2023-11-07 12:52:37,4,5
2023-11-07 12:52:38,3,5
2023-11-07 12:52:39,4,6
2023-11-07 12:52:40,4,5
2023-11-07 12:52:41,3,6
2023-11-07 12:52:42,4,5
2023-11-07 12:52:43,4,5
2023-11-07 12:52:44,3,6
2023-11-07 12:52:45,4,5
2023-11-07 12:52:46,4,6
2023-11-07 12:52:47,3,5
2023-11-07 12:52:48,4,5
2023-11-07 12:52:49,4,6
2023-11-07 12:52:50,3,5
2023-11-07 12:52:51,4,6
2023-11-07 12:52:52,4,5
2023-11-07 12:52:53,3,6
2023-11-07 12:52:54,4,5
2023-11-07 12:52:55,4,6
2023-11-07 12:52:56,3,5
2023-11-07 12:52:57,4,6
2023-11-07 12:52:58,4,5
2023-11-07 12:52:59,4,6
2023-11-07 12:53:00,3,5
2023-11-07 12:53:01,4,6
2023-11-07 12:53:02,4,6
2023-11-07 12:53:03,3,5
2023-11-07 12:53:04,4,6
2023-11-07 12:53:05,4,5
2023-11-07 12:53:06,3,6
2023-11-07 12:53:07,4,6
2023-11-07 12:53:08,4,5
2023-11-07 12:53:09,3,6
2023-11-07 12:53:10,4,6
2023-11-07 12:53:11,4,5
2023-11-07 12:53:12,4,6
2023-11-07 12:53:13,3,6
2023-11-07 12:53:14,4,6
2023-11-07 12:53:15,4,5
2023-11-07 12:53:16,3,6
2023-11-07 12:53:17,4,6
2023-11-07 12:53:18,4,6
2023-11-07 12:53:19,4,5
2023-11-07 12:53:20,3,6
2023-11-07 12:53:21,4,6
2023-11-07 12:53:22,4,6
2023-11-07 12:53:23,3,6
2023-11-07 12:53:24,4,5
2023-11-07 12:53:25,4,6
2023-11-07 12:53:26,4,6
2023-11-07 12:53:27,3,6
2023-11-07 12:53:28,4,6
2023-11-07 12:53:29,4,6
2023-11-07 12:53:30,4,5
2023-11-07 12:53:31,3,6
2023-11-07 12:53:32,4,6
2023-11-07 12:53:33,4,6
2023-11-07 12:53:34,4,6
2023-11-07 12:53:35,3,6
2023-11-07 12:53:36,4,6
2023-11-07 12:53:37,4,6
2023-11-07 12:53:38,4,6
2023-11-07 12:53:39,3,6
2023-11-07 12:53:40,4,6
2023-11-07 12:53:41,4,6
2023-11-07 12:53:42,4,6
2023-11-07 12:53:43,4,6
2023-11-07 12:53:44,3,6
2023-11-07 12:53:45,4,6
2023-11-07 12:53:46,4,6
2023-11-07 12:53:47,4,6
2023-11-07 12:53:48,4,6
2023-11-07 12:53:49,3,6
2023-11-07 12:53:50,4,6
2023-11-07 12:53:51,4,6
2023-11-07 12:53:52,4,6
2023-11-07 12:53:53,4,6
2023-11-07 12:53:54,3,6
2023-11-07 12:53:55,4,6
2023-11-07 12:53:56,4,6
2023-11-07 12:53:57,4,6
2023-11-07 12:53:58,4,6
2023-11-07 12:53:59,3,6
2023-11-07 12:54:00,4,6
2023-11-07 12:54:01,4,6
2023-11-07 12:54:02,4,7
2023-11-07 12:54:03,4,6
2023-11-07 12:54:04,4,6
2023-11-07 12:54:05,4,6
2023-11-07 12:54:06,3,6
2023-11-07 12:54:07,4,6
2023-11-07 12:54:08,4,6
2023-11-07 12:54:09,4,6
2023-11-07 12:54:10,4,6
2023-11-07 12:54:11,4,6
2023-11-07 12:54:12,3,6
2023-11-07 12:54:13,4,7
2023-11-07 12:54:14,4,6
2023-11-07 12:54:15,4,6
2023-11-07 12:54:16,4,6
2023-11-07 12:54:17,4,6
2023-11-07 12:54:18,4,6
2023-11-07 12:54:19,4,6
2023-11-07 12:54:20,3,7
2023-11-07 12:54:21,4,6
2023-11-07 12:54:22,4,6
2023-11-07 12:54:23,4,6
2023-11-07 12:54:24,4,6
2023-11-07 12:54:25,4,6
2023-11-07 12:54:26,4,7
2023-11-07 12:54:27,4,6
2023-11-07 12:54:28,4,6
2023-11-07 12:54:29,4,6
2023-11-07 12:54:30,4,6
2023-11-07 12:54:31,4,7
2023-11-07 12:54:32,3,6
2023-11-07 12:54:33,4,6
2023-11-07 12:54:34,4,6
2023-11-07 12:54:35,4,7
2023-11-07 12:54:36,4,6
2023-11-07 12:54:37,4,6
2023-11-07 12:54:38,4,6
2023-11-07 12:54:39,4,7
2023-11-07 12:54:40,4,6
2023-11-07 12:54:41,4,6
2023-11-07 12:54:42,4,6
2023-11-07 12:54:43,4,7
2023-11-07 12:54:44,4,6
2023-11-07 12:54:45,4,6
2023-11-07 12:54:46,4,7
2023-11-07 12:54:47,4,6
2023-11-07 12:54:48,4,6
2023-11-07 12:54:49,4,7
2023-11-07 12:54:50,4,6
2023-11-07 12:54:51,4,6
2023-11-07 12:54:52,4,7
2023-11-07 12:54:53,4,6
2023-11-07 12:54:54,5,6
2023-11-07 12:54:55,4,7
2023-11-07 12:54:56,4,6
2023-11-07 12:54:57,4,7
2023-11-07 12:54:58,4,6
2023-11-07 12:54:59,4,7
2023-11-07 12:55:00,4,6
2023-11-07 12:55:01,4,6
2023-11-07 12:55:02,4,7
2023-11-07 12:55:03,4,6
2023-11-07 12:55:04,5,7
2023-11-07 12:55:05,4,6
2023-11-07 12:55:06,4,7
2023-11-07 12:55:07,4,6
2023-11-07 12:55:08,4,7
2023-11-07 12:55:09,4,6
2023-11-07 12:55:10,5,7
2023-11-07 12:55:11,4,6
2023-11-07 12:55:12,4,7
2023-11-07 12:55:13,4,6
2023-11-07 12:55:14,4,7
2023-11-07 12:55:15,4,6
2023-11-07 12:55:16,5,7
2023-11-07 12:55:17,4,6
2023-11-07 12:55:18,4,7
2023-11-07 12:55:19,4,6
2023-11-07 12:55:20,5,7
2023-11-07 12:55:21,4,7
2023-11-07 12:55:22,4,6
2023-11-07 12:55:23,4,7
2023-11-07 12:55:24,4,6
2023-11-07 12:55:25,5,7
2023-11-07 12:55:26,4,7
2023-11-07 12:55:27,4,6
2023-11-07 12:55:28,5,7
2023-11-07 12:55:29,4,6
2023-11-07 12:55:30,4,7
2023-11-07 12:55:31,4,7
2023-11-07 12:55:32,5,6
2023-11-07 12:55:33,4,7
2023-11-07 12:55:34,4,7
2023-11-07 12:55:35,5,6
2023-11-07 12:55:36,4,7
2023-11-07 12:55:37,4,7
2023-11-07 12:55:38,5,6
2023-11-07 12:55:39,4,7
2023-11-07 12:55:40,4,7
2023-11-07 12:55:41,5,6
2023-11-07 12:55:42,4,7
2023-11-07 12:55:43,4,7
2023-11-07 12:55:44,5,6
2023-11-07 12:55:45,4,7
2023-11-07 12:55:46,4,7
2023-11-07 12:55:47,5,6
2023-11-07 12:55:48,4,7
2023-11-07 12:55:49,5,7
2023-11-07 12:55:50,4,6
2023-11-07 12:55:51,4,7
2023-11-07 12:55:52,5,7
2023-11-07 12:55:53,4,6
2023-11-07 12:55:54,4,7
2023-11-07 12:55:55,5,7
2023-11-07 12:55:56,4,7
2023-11-07 12:55:57,5,6
2023-11-07 12:55:58,4,7
2023-11-07 12:55:59,5,7
2023-11-07 12:56:00,4,6
2023-11-07 12:56:01,4,7
2023-11-07 12:56:02,5,7
2023-11-07 12:56:03,4,6
2023-11-07 12:56:04,5,7
2023-11-07 12:56:05,4,7
2023-11-07 12:56:06,5,7
2023-11-07 12:56:07,4,6
2023-11-07 12:56:08,5,7
2023-11-07 12:56:09,4,7
2023-11-07 12:56:10,5,7
2023-11-07 12:56:11,4,6
2023-11-07 12:56:12,4,7
2023-11-07 12:56:13,5,7
2023-11-07 12:56:14,4,7
2023-11-07 12:56:15,5,7
2023-11-07 12:56:16,4,6
2023-11-07 12:56:17,5,7
2023-11-07 12:56:18,4,7
2023-11-07 12:56:19,5,7
2023-11-07 12:56:20,4,7
2023-11-07 12:56:21,5,6
2023-11-07 12:56:22,4,7
2023-11-07 12:56:23,5,7
2023-11-07 12:56:24,4,7
2023-11-07 12:56:25,5,7
2023-11-07 12:56:26,5,6
2023-11-07 12:56:27,4,7
2023-11-07 12:56:28,5,7
2023-11-07 12:56:29,4,7
2023-11-07 12:56:30,5,7
2023-11-07 12:56:31,4,7
2023-11-07 12:56:32,5,6
2023-11-07 12:56:33,4,7
2023-11-07 12:56:34,5,7
2023-11-07 12:56:35,4,7
2023-11-07 12:56:36,5,7
2023-11-07 12:56:37,5,7
2023-11-07 12:56:38,4,6
2023-11-07 12:56:39,5,7
2023-11-07 12:56:40,4,7
2023-11-07 12:56:41,5,7
2023-11-07 12:56:42,5,7
2023-11-07 12:56:43,4,6
2023-11-07 12:56:44,5,7
2023-11-07 12:56:45,4,7
2023-11-07 12:56:46,5,7
2023-11-07 12:56:47,4,7
2023-11-07 12:56:48,5,7
2023-11-07 12:56:49,5,6
2023-11-07 12:56:50,4,7
2023-11-07 12:56:51,5,7
2023-11-07 12:56:52,5,7
2023-11-07 12:56:53,4,7
2023-11-07 12:56:54,5,7
2023-11-07 12:56:55,4,7
2023-11-07 12:56:56,5,6
