Time_1HZ, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
2023-11-07 12:51:01,1.0,29.75,-1.37,31.185000000000002
2023-11-07 12:51:02,1.0,29.81,-1.37,31.25
2023-11-07 12:51:03,1.0,29.875,-1.37,31.345
2023-11-07 12:51:04,1.0,29.94,-1.37,31.44
2023-11-07 12:51:05,1.0,30.03,-1.405,31.53
2023-11-07 12:51:06,1.0,30.12,-1.44,31.62
2023-11-07 12:51:07,1.0,30.185000000000002,-1.44,31.715
2023-11-07 12:51:08,1.0,30.25,-1.44,31.81
2023-11-07 12:51:09,1.0,30.345,-1.44,31.905
2023-11-07 12:51:10,1.0,30.44,-1.44,32.0
2023-11-07 12:51:11,1.0,30.5,-1.44,32.065
2023-11-07 12:51:12,1.0,30.56,-1.44,32.13
2023-11-07 12:51:13,1.0,30.655,-1.44,32.22
2023-11-07 12:51:14,1.0,30.75,-1.44,32.31
2023-11-07 12:51:15,1.0,30.810000000000002,-1.44,32.405
2023-11-07 12:51:16,1.0,30.87,-1.44,32.5
2023-11-07 12:51:17,1.0,30.913333333333334,-1.44,32.56333333333333
2023-11-07 12:51:18,1.0,30.956666666666667,-1.44,32.626666666666665
2023-11-07 12:51:19,1.0,31.0,-1.44,32.69
2023-11-07 12:51:20,1.0,31.095,-1.44,32.785
2023-11-07 12:51:21,1.0,31.19,-1.44,32.88
2023-11-07 12:51:22,1.0,31.28,-1.44,32.97
2023-11-07 12:51:23,1.0,31.37,-1.44,33.06
2023-11-07 12:51:24,1.0,31.465,-1.44,33.155
2023-11-07 12:51:25,1.0,31.56,-1.44,33.25
2023-11-07 12:51:26,1.0,31.625,-1.44,33.345
2023-11-07 12:51:27,1.0,31.69,-1.44,33.44
2023-11-07 12:51:28,1.0,31.78,-1.44,33.535
2023-11-07 12:51:29,1.0,31.87,-1.44,33.63
2023-11-07 12:51:30,1.0,31.965000000000003,-1.44,33.755
2023-11-07 12:51:31,1.0,32.06,-1.44,33.88
2023-11-07 12:51:32,1.0,32.155,-1.44,33.94
2023-11-07 12:51:33,1.0,32.25,-1.44,34.0
2023-11-07 12:51:34,1.0,32.345,-1.44,34.125
2023-11-07 12:51:35,1.0,32.44,-1.44,34.25
2023-11-07 12:51:36,1.0,32.535,-1.44,34.345
2023-11-07 12:51:37,1.0,32.63,-1.44,34.44
2023-11-07 12:51:38,1.0,32.72,-1.44,34.535
2023-11-07 12:51:39,1.0,32.81,-1.44,34.63
2023-11-07 12:51:40,1.0,32.85333333333333,-1.44,34.690000000000005
2023-11-07 12:51:41,1.0,32.89666666666667,-1.44,34.75
2023-11-07 12:51:42,1.0,32.94,-1.44,34.81
2023-11-07 12:51:43,1.0,33.035,-1.405,34.905
2023-11-07 12:51:44,1.0,33.13,-1.37,35.0
2023-11-07 12:51:45,1.0,33.22,-1.37,35.095
2023-11-07 12:51:46,1.0,33.31,-1.37,35.19
2023-11-07 12:51:47,1.0,33.435,-1.37,35.315
2023-11-07 12:51:48,1.0,33.56,-1.37,35.44
2023-11-07 12:51:49,1.0,33.655,-1.34,35.535
2023-11-07 12:51:50,1.0,33.75,-1.31,35.63
2023-11-07 12:51:51,1.0,33.845,-1.31,35.72
2023-11-07 12:51:52,1.0,33.94,-1.31,35.81
2023-11-07 12:51:53,1.0,34.035,-1.31,35.905
2023-11-07 12:51:54,1.0,34.13,-1.31,36.0
2023-11-07 12:51:55,1.0,34.22,-1.31,36.125
2023-11-07 12:51:56,1.0,34.31,-1.31,36.25
2023-11-07 12:51:57,1.0,34.405,-1.28,36.345
2023-11-07 12:51:58,1.0,34.5,-1.25,36.44
2023-11-07 12:51:59,1.0,34.595,-1.25,36.565
2023-11-07 12:52:00,1.0,34.69,-1.25,36.69
2023-11-07 12:52:01,1.0,34.785,-1.25,36.785
2023-11-07 12:52:02,1.0,34.88,-1.25,36.88
2023-11-07 12:52:03,1.0,34.97,-1.25,36.97
2023-11-07 12:52:04,1.0,35.06,-1.25,37.06
2023-11-07 12:52:05,1.0,35.14333333333334,-1.25,37.14333333333334
2023-11-07 12:52:06,1.0,35.22666666666667,-1.25,37.22666666666667
2023-11-07 12:52:07,1.0,35.31,-1.25,37.31
2023-11-07 12:52:08,1.0,35.405,-1.22,37.405
